titulo,bairro,descricao,m2,quartos,banheiros,garagem,valor,link
"Rua 145, SETOR MARISTA, GOIANIA",SETOR MARISTA,Venda Apartamento 38 m²,38.0,1.0,,,440000.0,https://www.62imoveis.com.br/imovel/apartamento-1-quarto-venda-setor-marista-goiania-go-rua-145-1178099
"Rua C 238, GOIANIA",JARDIM AMERICA,Venda Apartamento 130 m²,130.0,3.0,,,987000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-jardim-america-goiania-go-rua-c-238-1178265
"Rua 18 C, SETOR GARAVELO, APARECIDA DE GOIANIA",SETOR GARAVELO,Venda Casa 165 m²,165.0,3.0,,,820000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-setor-garavelo-aparecida-de-goiania-go-rua-18-c-1178660
"Rua do Parque, JARDIM ATLANTICO, GOIANIA",JARDIM ATLANTICO,Venda Apartamento 106 m²,106.0,3.0,,,830000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-jardim-atlantico-goiania-go-rua-do-parque-1178582
"Rua T 36 ATE 3764 LADO PAR, SETOR BUENO, GOIANIA",SETOR BUENO,Venda Apartamento 41 m²,41.0,1.0,,,375000.0,https://www.62imoveis.com.br/imovel/apartamento-1-quarto-venda-setor-bueno-goiania-go-rua-t-36-ate-3764-lado-par-1178182
"Rua C 80, SETOR SUDOESTE, GOIANIA",SETOR SUDOESTE,Venda Apartamento 98 m²,98.0,3.0,,,410000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-setor-sudoeste-goiania-go-rua-c-80-1178216
"Rua JOSE SALUSTIANO, VILA ROSA, GOIANIA",VILA ROSA,Venda Apartamento 125 m²,125.0,3.0,,,860000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-vila-rosa-goiania-go-rua-jose-salustiano-1178068
"AVENIDA RIO NEGRO, PARQUE AMAZONIA, GOIANIA",PARQUE AMAZONIA,Venda Apartamento 67 m²,67.0,2.0,,,429000.0,https://www.62imoveis.com.br/imovel/apartamento-2-quartos-venda-parque-amazonia-goiania-go-avenida-rio-negro-1178195
"Avenida Nápoli, RESIDENCIAL ELDORADO EXPANSAO, GOIANIA",RESIDENCIAL ELDORADO,Venda Apartamento 109 m²,109.0,3.0,,,890000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-residencial-eldorado-expansao-goiania-go-avenida-napoli-1178003
"Rua DOUTOR JOAQUIM TAVEIRA, VILA ROSA, GOIANIA",VILA ROSA,Venda Apartamento 55 m²,55.0,2.0,,,325000.0,https://www.62imoveis.com.br/imovel/apartamento-2-quartos-venda-vila-rosa-goiania-go-rua-doutor-joaquim-taveira-1123380
"Avenida Engenheiro Correia Lima, VILA JARAGUA, GOIANIA",VILA JARAGUA,Venda Apartamento 56 m²,56.0,2.0,,,395000.0,https://www.62imoveis.com.br/imovel/apartamento-2-quartos-venda-vila-jaragua-goiania-go-avenida-engenheiro-correia-lima-1178150
"AVENIDA PORTUGAL, SETOR OESTE, GOIANIA",SETOR OESTE,Venda Apartamento 221 m²,221.0,3.0,,,2200000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-setor-oeste-goiania-go-avenida-portugal-1178499
"AVENIDA PERIMETRAL NORTE, JARDIM DIAMANTINA, GOIANIA",JARDIM DIAMANTINA,Venda Apartamento 61 m²,61.0,3.0,,,140000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-jardim-diamantina-goiania-go-avenida-perimetral-norte-1178019
"AVENIDA ANTONIO FIDELIS, PARQUE AMAZONIA, GOIANIA",PARQUE AMAZONIA,Venda Apartamento 103 m²,103.0,3.0,,,1021000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-parque-amazonia-goiania-go-avenida-antonio-fidelis-1144427
"AVENIDA ANTONIO FIDELIS, PARQUE AMAZONIA, GOIANIA",PARQUE AMAZONIA,Venda Apartamento 82 m²,82.0,3.0,,,757000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-parque-amazonia-goiania-go-avenida-antonio-fidelis-1141511
"AVENIDA ANDALUSITA, SETOR PONTAL SUL, APARECIDA DE GOIANIA",SETOR PONTAL SUL,Venda Casa 133 m²,133.0,3.0,,,650000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-setor-pontal-sul-aparecida-de-goiania-go-avenida-andalusita-1114725
"Avenida das Flores, JARDINS CAPRI, SENADOR CANEDO",JARDINS CAPRI,Venda Casa 177 m²,177.0,3.0,,,1590000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-jardins-capri-senador-canedo-go-avenida-das-flores-1178486
"Alameda Croácia, TERRAS ALPHA RESIDENCIAL 1, SENADOR CANEDO",,Venda Casa Condominio 151 m²,151.0,3.0,,,950000.0,https://www.62imoveis.com.br/imovel/casa-condominio-3-quartos-venda-terras-alpha-residencial-1-senador-canedo-go-alameda-croacia-1182353
"Avenida Parma, JARDINS PARMA, SENADOR CANEDO",,Venda Casa Condominio 205 m²,205.0,4.0,,,1440000.0,https://www.62imoveis.com.br/imovel/casa-condominio-4-quartos-venda-jardins-parma-senador-canedo-go-avenida-parma-1178472
"ALAMEDA FLEURY CURADO, SETOR FAICALVILLE, GOIANIA",SETOR FAICALVILLE,Venda Apartamento 50 m²,50.0,2.0,,,400000.0,https://www.62imoveis.com.br/imovel/apartamento-2-quartos-venda-setor-faicalville-goiania-go-alameda-fleury-curado-1178172
"Rua C 259, SETOR NOVA SUICA, GOIANIA",SETOR NOVA SUICA,Venda Apartamento 58 m²,58.0,2.0,,,380000.0,https://www.62imoveis.com.br/imovel/apartamento-2-quartos-venda-setor-nova-suica-goiania-go-rua-c-259-1178123
"Rua JOSE SALUSTIANO, VILA ROSA, GOIANIA",VILA ROSA,Venda Apartamento 125 m²,125.0,3.0,,,860000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-vila-rosa-goiania-go-rua-jose-salustiano-1177964
"Rua T 55, SETOR BUENO, GOIANIA",SETOR BUENO,Venda Apartamento 97 m²,97.0,3.0,,,900000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-setor-bueno-goiania-go-rua-t-55-1178002
"AVENIDA PERIMETRAL OESTE, RESIDENCIAL NUNES DE MORAIS 1 ETAPA, GOIANIA",,Venda Apartamento 56 m²,56.0,2.0,,,220000.0,https://www.62imoveis.com.br/imovel/apartamento-2-quartos-venda-residencial-nunes-de-morais-1-etapa-goiania-go-avenida-perimetral-oeste-1178168
"Rua 31, SETOR OESTE, GOIANIA",SETOR OESTE,Venda Apartamento 94 m²,94.0,3.0,,,495000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-setor-oeste-goiania-go-rua-31-1097569
"Rua SR 45, RESIDENCIAL PAULO ESTRELA, GOIANIA",,Venda Casa 102 m²,102.0,3.0,,,398000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-residencial-paulo-estrela-goiania-go-rua-sr-45-1178732
"AVENIDA IPANEMA, JARDIM ATLANTICO, GOIANIA",JARDIM ATLANTICO,Venda Casa 248 m²,248.0,4.0,,,1790000.0,https://www.62imoveis.com.br/imovel/casa-4-quartos-venda-jardim-atlantico-goiania-go-avenida-ipanema-1178013
"Rua do Parque, JARDIM ATLANTICO, GOIANIA",JARDIM ATLANTICO,Venda Apartamento 106 m²,106.0,3.0,,,750000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-jardim-atlantico-goiania-go-rua-do-parque-1178565
"Rua 402, SETOR NEGRAO DE LIMA, GOIANIA",SETOR NEGRAO DE LIMA,Venda Apartamento 64 m²,64.0,2.0,,,320000.0,https://www.62imoveis.com.br/imovel/apartamento-2-quartos-venda-setor-negrao-de-lima-goiania-go-rua-402-1177742
"Alameda Palmeiral, CONDOMINIO ALTO DA BOA VISTA, SENADOR CANEDO",CONDOMINIO ALTO DA BOA VISTA,Venda Lote/Terreno/Área 470 m²,470.0,,,,450000.0,https://www.62imoveis.com.br/imovel/lote-terreno-rea-0-quartos-venda-condominio-alto-da-boa-vista-senador-canedo-go-alameda-palmeiral-1083486
"Rua T 53, SETOR BUENO, GOIANIA",SETOR BUENO,Venda Apartamento 77 m²,77.0,3.0,,,645000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-setor-bueno-goiania-go-rua-t-53-1136995
"Rua NITEROI, PARQUE AMAZONIA, GOIANIA",PARQUE AMAZONIA,Venda Apartamento 65 m²,65.0,3.0,,,420000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-parque-amazonia-goiania-go-rua-niteroi-1178219
"AVENIDA DEPUTADO JAMEL CECILIO, JARDIM GOIAS, GOIANIA",JARDIM GOIAS,Venda Apartamento 106 m²,106.0,3.0,,,989000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-jardim-goias-goiania-go-avenida-deputado-jamel-cecilio-1118156
"AVENIDA FLORESTA, RESIDENCIAL ALDEIA DO VALE, GOIANIA",RESIDENCIAL ALDEIA DO VALE,Venda Lote/Terreno/Área 14317 m²,14317.0,,,,4477244.0,https://www.62imoveis.com.br/imovel/lote-terreno-rea-0-quartos-venda-residencial-aldeia-do-vale-goiania-go-avenida-floresta-1007455
"AVENIDA JOAQUIM PEDRO DIAS, GOIA 2, GOIANIA",,Venda Casa 120 m²,120.0,3.0,,,495000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-goia-2-goiania-go-avenida-joaquim-pedro-dias-1085423
