cidade,estado,bairro,tipo,m2,quartos,banheiros,garagem,valor,endereco,link
Goiania,GO,Vila Rosa,ÁGIO,55²,2,2,,376000.0,"Rua Francisco Godinho, 00",https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-go-goiania-vila-rosa-55m2-RS376000/id-29016740/
Goiania,GO,Jardim Goiás,KITNET,41²,1,1,, 2990Cond: 360,Avenida Deputado Jamel Cecílio,https://www.chavesnamao.com.br/imovel/kitnet-para-alugar-com-garagem-go-goiania-jardim-goias-41m2-RS2990/id-31900830/
Goiania,GO,Serrinha,APARTAMENTO,89²,3,3,2,754000.0,"Rua Camilo Flamarion, 61",https://www.chavesnamao.com.br/imovel/apartamento-a-venda-3-quartos-com-garagem-go-goiania-serrinha-89m2-RS754000/id-28197230/
Goiania,GO,Setor Progresso,APARTAMENTO,39²,2,1,, 1307Cond: 422,Rua Rit 10,https://www.chavesnamao.com.br/imovel/apartamento-para-alugar-2-quartos-com-garagem-go-goiania-setor-progresso-39m2-RS1307/id-31909472/
Goiania,GO,Setor Marista,APARTAMENTO,178²,3,5,3, 1840000Cond: 1437,"Rua 135, 540",https://www.chavesnamao.com.br/imovel/apartamento-a-venda-3-quartos-com-garagem-go-goiania-setor-marista-178m2-RS1840000/id-26032185/
Goiania,GO,Jardim Atlântico,APARTAMENTO,65²,2,2,, 2083Cond: 302,Rua F 63,https://www.chavesnamao.com.br/imovel/apartamento-para-alugar-2-quartos-com-garagem-go-goiania-jardim-atlantico-65m2-RS2083/id-31921027/
Goiania,GO,Setor Marista,FLAT,31²,1,1,,390000.0,"Rua 145, 120",https://www.chavesnamao.com.br/imovel/flat-a-venda-1-quarto-com-garagem-go-goiania-setor-marista-31m2-RS390000/id-28166024/
Goiania,GO,Portal do Sol Green,SOBRADO,306²,4,1,2,15000.0,"Portal Do Sol Green, SN",https://www.chavesnamao.com.br/imovel/casa-em-condominio-para-alugar-4-quartos-com-garagem-go-goiania-portal-do-sol-green-430m2-RS15000/id-32028415/
Goiania,GO,Vila Monticelli,APARTAMENTO,72²,3,2,2, 550000Cond: 432,"Rua 241, 3",https://www.chavesnamao.com.br/imovel/apartamento-a-venda-3-quartos-com-garagem-go-goiania-vila-monticelli-72m2-RS550000/id-28477700/
Goiania,GO,Setor Pedro Ludovico,APARTAMENTO,66²,2,2,, 3400Cond: 420,"Avenida 1ª Radial, 25",https://www.chavesnamao.com.br/imovel/apartamento-para-alugar-2-quartos-com-garagem-go-goiania-setor-pedro-ludovico-66m2-RS3400/id-29077611/
Goiania,GO,Parque Oeste Industrial,APARTAMENTO,86²,3,2,2, 599000Cond: 450,Rua Do Esmalte,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-3-quartos-com-garagem-go-goiania-parque-oeste-industrial-RS599000/id-29112306/
Goiania,GO,Santa Genoveva,CASA,130²,3,4,, 2500Iptu: 156,"Juriti, 201",https://www.chavesnamao.com.br/imovel/casa-para-alugar-3-quartos-com-garagem-go-goiania-santa-genoveva-130m2-RS2500/id-31931535/
Goiania,GO,Setor Oeste,VENDA,62²,1,1,2, 470000Cond: 1900,Rua 9,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-1-quarto-com-garagem-go-goiania-setor-oeste-RS470000/id-31108119/
Goiania,GO,Residencial Eli Forte,APARTAMENTO,48²,1,1,, 1150Iptu: 120,Rua Rita Caetano,https://www.chavesnamao.com.br/imovel/apartamento-para-alugar-1-quarto-com-garagem-go-goiania-residencial-eli-forte-48m2-RS1150/id-31910395/
Goiania,GO,Jardim Goiás,APARTAMENTO,93²,2,2,, 4000Cond: 720,"Avenida H, sn",https://www.chavesnamao.com.br/imovel/apartamento-para-alugar-2-quartos-com-garagem-go-goiania-jardim-goias-93m2-RS4000/id-26961941/
Goiania,GO,Parque Anhangüera,CASA,200²,3,1,2, 1480000Cond: 100,"Avenida Vital Brasil, 1",https://www.chavesnamao.com.br/imovel/casa-a-venda-3-quartos-com-garagem-go-goiania-parque-anhanguera-445m2-RS1480000/id-31445558/
Goiania,GO,Alto da Glória,RUA,154²,3,4,2, 6500Cond: 1100,Rua Natal,https://www.chavesnamao.com.br/imovel/apartamento-para-alugar-3-quartos-com-garagem-go-goiania-alto-da-gloria-154m2-RS6500/id-30816331/
Goiania,GO,Setor Faiçalville,CASA,480²,4,5,4,1240000.0,"Pedro Primeiro, 100",https://www.chavesnamao.com.br/imovel/casa-a-venda-4-quartos-com-garagem-go-goiania-setor-faicalville-480m2-RS1240000/id-16009691/
Goiania,GO,Setor Nova Suiça,APARTAMENTO,93²,3,2,2, 4800Cond: 872,Avenida T 15,https://www.chavesnamao.com.br/imovel/apartamento-para-alugar-3-quartos-com-garagem-go-goiania-setor-nova-suica-93m2-RS4800/id-30990611/
Goiania,GO,Vila Perdiz,CASA,823²,3,2,3,1289000.0,Rua Cristóvão Colombo,https://www.chavesnamao.com.br/imovel/casa-a-venda-3-quartos-com-garagem-go-goiania-vila-perdiz-1157m2-RS1289000/id-14468603/
Goiania,GO,Setor Grajaú,APARTAMENTO,43²,2,1,, 1050Cond: 320,Rua Da Vitória,https://www.chavesnamao.com.br/imovel/apartamento-para-alugar-2-quartos-com-garagem-go-goiania-setor-grajau-RS1050/id-29996217/
