estado,cidade,bairro,tipo,quartos,m2,valor
GO,GOIANIA,SETOR MARISTA,APARTAMENTO,4,221,2900000
GO,GOIANIA,SETOR BUENO,APARTAMENTO,3,119,1500000
GO,GOIANIA,JARDIM AMÉRICA,APARTAMENTO,3,291,2150000
GO,GOIANIA,PORTAL DO SOL GREEN,CASA,4,220,1970000
GO,GOIANIA,SETOR BUENO,APARTAMENTO,4,662,4650000
GO,GOIANIA,COLÔNIA SANTA MARTA,TERRENO,0,654,700000
GO,GOIANIA,ALPHAVILLE,CASA,5,453,7250000
GO,GOIANIA,JARDINS,CASA,4,250,2900000
GO,GOIANIA,PORTAL DO SOL GREEN,CASA,4,299,2900000
GO,GOIANIA,JARDIM GOIÁS,APARTAMENTO,2,72,920000
GO,GOIANIA,PORTAL DO SOL GREEN,CASA,4,212,2300000
GO,GOIANIA,PORTAL DO SOL GREEN,CASA,3,218,1830000
GO,GOIANIA,SETOR MARISTA,APARTAMENTO,3,172,2035748
GO,GOIANIA,PORTAL DO SOL GREEN,CASA,3,294,2880000
GO,SENADOR CANEDO,CONDOMÍNIO TERRAS ALPHA 2,CASA,3,151,950000
GO,GOIANIA,JARDINS,CASA,3,200,1800000
GO,GOIANIA,SETOR BUENO,APARTAMENTO,2,68,560000
GO,GOIANIA,SETOR MARISTA,APARTAMENTO,4,228,2300000
GO,GOIANIA,SETOR MARISTA,APARTAMENTO,2,80,987889
GO,GOIANIA,JARDINS,CASA,4,220,2300000
GO,GOIANIA,SETOR MARISTA,APARTAMENTO,3,157,1500000
GO,GOIANIA,PORTAL DO SOL GREEN,CASA,3,206,2100000
GO,GOIANIA,PORTAL DO SOL GARDEN,CASA,4,270,2350000
GO,GOIANIA,JARDIM GOIÁS,APARTAMENTO,1,58,530000
GO,GOIANIA,SETOR BUENO,APARTAMENTO,4,172,1495000
GO,GOIANIA,JARDIM AMÉRICA,APARTAMENTO,3,130,1217054
GO,GOIANIA,SETOR MARISTA,APARTAMENTO,3,80,843006
GO,GOIANIA,PORTAL DO SOL GREEN,CASA,3,300,2600000
GO,GOIANIA,SETOR MARISTA,APARTAMENTO,4,242,2861347
GO,GOIANIA,SETOR PEDRO LUDOVICO,APARTAMENTO,3,111,1002723
