estado,cidade,bairro,tipo,m2,quartos,banheiros,garagem,mobilia,ano,valor
GO,Goiânia,SETOR MARISTA,Apartamento,221.21,4,5,3,1,2020,2900000.0
GO,Goiânia,SETOR BUENO,Apartamento,119.0,3,4,2,1,2020,1500000.0
GO,Goiânia,JARDIM AMÉRICA,Apartamento,291.0,3,5,2,Nao,2020,2150000.0
GO,Goiânia,FAZENDA VAU DAS POMBAS,Casa,220.0,4,5,4,Nao,2020,1970000.0
GO,Goiânia,SETOR BUENO,Apartamento,662.42,4,5,5,Nao,2020,4650000.0
GO,Goiânia,COLÔNIA SANTA MARTA,Terreno,654.0,0,0,0,Nao,2020,700000.0
GO,Hidrolândia,COUNTRY VILLE,Rural,268.0,3,5,0,Nao,2020,1490000.0
GO,Goiânia,ALPHAVILLE,Casa,453.0,5,8,6,Nao,2020,7250000.0
GO,Goiânia,JARDINS,Casa,250.0,4,6,4,Nao,2020,2900000.0
GO,Goiânia,FAZENDA VAU DAS POMBAS,Casa,299.0,4,6,4,Nao,2020,2900000.0
GO,Goiânia,JARDIM GOIÁS,Apartamento,72.0,2,1,1,Nao,2020,920000.0
GO,Goiânia,GOIÂNIA GOL CLUB,Casa,212.0,4,4,4,Nao,2020,2300000.0
GO,Goiânia,FAZENDA VAU DAS POMBAS,Casa,218.0,3,5,4,Nao,2020,1830000.0
GO,Goiânia,SETOR MARISTA,Apartamento,172.0,3,5,2,Nao,2020,2035748.0
GO,Goiânia,FAZENDA VAU DAS POMBAS,Casa,294.0,3,4,0,Nao,2020,2880000.0
GO,Senador Canedo,TERRAS ALPHA RESIDENCIAL 2,Casa,151.0,3,3,0,Nao,2020,950000.0
GO,Goiânia,JARDINS,Casa,200.0,3,4,4,Nao,2020,1800000.0
GO,Goiânia,SETOR BUENO,Apartamento,68.0,2,2,1,Nao,2020,560000.0
GO,Goiânia,SETOR MARISTA,Apartamento,228.0,4,5,4,Nao,2020,2300000.0
GO,Goiânia,SETOR MARISTA,Apartamento,80.0,2,1,0,Nao,2020,987889.28
GO,Goiânia,JARDINS,Casa,220.0,4,5,4,Nao,2020,2300000.0
GO,Goiânia,SETOR MARISTA,Apartamento,157.0,3,5,2,Nao,2020,1500000.0
GO,Goiânia,FAZENDA VAU DAS POMBAS,Casa,206.91,3,5,4,Nao,2020,2100000.0
GO,Goiânia,PORTAL DO SOL GARDEN,Casa,270.0,4,6,4,Nao,2020,2350000.0
GO,Goiânia,JARDIM GOIÁS,Apartamento,58.0,1,1,1,Nao,2020,530000.0
GO,Goiânia,SETOR BUENO,Apartamento,172.0,4,5,3,Nao,2020,1495000.0
GO,Goiânia,JARDIM AMÉRICA,Apartamento,130.0,3,3,2,Nao,2020,1217054.29
GO,Goiânia,SETOR MARISTA,Apartamento,80.0,3,3,1,Nao,2020,843006.0
GO,Goiânia,FAZENDA VAU DAS POMBAS,Casa,300.0,3,5,4,Nao,2020,2600000.0
GO,Goiânia,SETOR MARISTA,Apartamento,242.0,4,5,3,Nao,2020,2861347.71
GO,Goiânia,SETOR PEDRO LUDOVICO,Apartamento,111.0,3,0,0,Nao,2020,1002723.85
GO,Goiânia,SETOR BUENO,Apartamento,398.0,4,5,5,Nao,2020,6990003.0
GO,Goiânia,FAZENDA VAU DAS POMBAS,Casa,253.0,4,6,4,Nao,2020,2400000.0
GO,Goiânia,SETOR MARISTA,Comercial,75.0,0,1,2,Nao,2020,2050000.0
GO,Goiânia,GOLF CLUB,Casa,530.0,4,5,0,Nao,2020,6700000.0
GO,Goiânia,SETOR MARISTA,Apartamento,242.0,4,6,4,Nao,2020,2275000.0
GO,Goiânia,SETOR MARISTA,Apartamento,190.0,5,6,0,Nao,2020,2213251.0
GO,Goiânia,SETOR BUENO,Apartamento,142.0,3,4,2,Nao,2020,1593479.0
GO,Aparecida de Goiânia,CHÁCARAS MARIVÂNIA,Rural,1870.0,15,16,10,Nao,2020,7500000.0
GO,Senador Canedo,TERRAS ALPHA RESIDENCIAL 2,Casa,192.0,4,6,4,Nao,2020,1390000.0
GO,Senador Canedo,TERRAS ALPHA RESIDENCIAL 2,Casa,177.0,4,5,0,Nao,2020,1200000.0
GO,Senador Canedo,JARDINS,Casa,365.0,4,6,4,Nao,2020,2600000.0
GO,Senador Canedo,TERRAS ALPHA RESIDENCIAL 2,Casa,217.0,3,5,0,Nao,2020,1630000.0
GO,Goiânia,FAZENDA VAU DAS POMBAS,Casa,1250.0,3,4,0,Nao,2020,6500000.0
GO,Goiânia,RESIDENCIAL ALDEIA DO VALE,Casa,650.0,4,8,4,Nao,2020,15000000.0
GO,Goiânia,JARDIM GOIÁS,Apartamento,164.67,2,3,1,1,2020,1390000.0
GO,Goiânia,SETOR BUENO,Apartamento,740.9,5,7,6,Nao,2020,12605635.0
GO,Goiânia,SETOR BUENO,Apartamento,121.0,3,4,2,Nao,2020,1145968.62
GO,Goiânia,SETOR MARISTA,Apartamento,71.0,2,2,1,Nao,2020,1050777.0
GO,Goiânia,SETOR MARISTA,Apartamento,104.0,3,4,0,Nao,2020,1203416.0
GO,Goiânia,SETOR BUENO,Apartamento,120.63,3,4,2,Nao,2020,1253959.12
GO,Goiânia,SETOR BUENO,Apartamento,121.28,2,1,0,Nao,2020,1145968.62
GO,Goiânia,SETOR BUENO,Apartamento,462.21,5,7,0,Nao,2020,7349864.54
GO,Goiânia,SETOR OESTE,Apartamento,129.0,3,4,2,Nao,2020,1150000.0
GO,Goiânia,SETOR BELA VISTA,Apartamento,332.43,4,4,5,Nao,2020,3200000.0
GO,Senador Canedo,TERRAS ALPHA RESIDENCIAL 1,Casa,361.0,4,4,3,Nao,2020,1499000.0
GO,Goiânia,SETOR MARISTA,Apartamento,194.64,3,5,3,Nao,2020,2924324.32
Goiás,Goiânia,ST. BUENO,Apartamento,130.0,3,4,2,Nao,2020,1249687.0
GO,Goiânia,SETOR MARISTA,Apartamento,259.0,4,6,3,Nao,2020,2924324.32
GO,Goiânia,SETOR BUENO,Apartamento,171.0,3,5,2,Nao,2020,1556756.76
GO,Goiânia,SERRINHA,Apartamento,150.0,3,4,2,Nao,2020,1450000.0
GO,Aparecida de Goiânia,CIDADE VERA CRUZ - JARDINS MÔNACO,Casa,333.0,3,6,4,Nao,2020,3900000.0
