estado,cidade,bairro,tipo,quartos,m2,valor
GO,GOIANIA,Alphaville Araguaia,Casa,5,500,3850000
GO,GOIANIA,Alphaville Araguaia,Casa,4,276,3800000
GO,GOIANIA,Alphaville Araguaia,Casa,4,269,4000000
GO,GOIANIA,Alphaville Araguaia,Casa,4,276,3850000
GO,GOIANIA,Alphaville Araguaia,Casa,3,320,3750000
GO,GOIANIA,Alphaville Araguaia,Casa,5,556,7500000
GO,GOIANIA,Alphaville Araguaia,Casa,4,269,3800000
GO,GOIANIA,Alphaville Araguaia,Casa,5,408,6000000
GO,GOIANIA,Alphaville Araguaia,Casa,4,276,3850000
GO,GOIANIA,Alphaville Araguaia,Casa,5,380,4500000
GO,GOIANIA,Alphaville Araguaia,Casa,4,269,4000000
GO,GOIANIA,Alphaville Araguaia,Casa,5,348,3800000
GO,GOIANIA,Alphaville Araguaia,Casa,4,276,3850000
GO,GOIANIA,Alphaville Araguaia,Casa,5,300,2400000
GO,GOIANIA,Alphaville Araguaia,Casa,4,629,8500000
GO,GOIANIA,Alphaville Araguaia,Casa,4,490,4900000
GO,GOIANIA,Alphaville Araguaia,Casa,4,269,4000000
GO,GOIANIA,Alphaville Araguaia,Casa,4,447,4990000
GO,GOIANIA,Alphaville Araguaia,Casa,4,440,6200000
GO,GOIANIA,Alphaville Araguaia,Casa,4,289,3800000
GO,GOIANIA,Alphaville Araguaia,Casa,3,166,1430000
GO,GOIANIA,Alphaville Araguaia,Casa,4,447,4990000
GO,GOIANIA,Alphaville Araguaia,Casa,4,276,3800000
GO,GOIANIA,Alphaville Araguaia,Casa,4,270,3999990
GO,GOIANIA,Alphaville Araguaia,Casa,3,255,3580000
GO,GOIANIA,Alphaville Araguaia,Casa,3,255,3580000
GO,GOIANIA,Alphaville Araguaia,Casa,4,270,3900000
GO,GOIANIA,Alphaville Araguaia,Sobrado,4,447,4900000
GO,GOIANIA,Alphaville Araguaia,Casa,4,372,3900000
GO,GOIANIA,Alphaville Araguaia,Casa,5,390,4850000
