estado,cidade,bairro,tipo,quartos,m2,valor
GO,GOIANIA,Alphaville Cruzeiro,Lote/Terreno,,1205,5980000
GO,GOIANIA,Alphaville Cruzeiro,Lote/Terreno,,800,3300000
GO,GOIANIA,Alphaville Cruzeiro,Sobrado,5,481,5950000
GO,GOIANIA,Alphaville Cruzeiro,Casa,4,530,7200000
GO,GOIANIA,Alphaville Cruzeiro,Casa,4,455,6200000
GO,GOIANIA,Alphaville Cruzeiro,Casa,4,532,7200000
GO,GOIANIA,Alphaville Cruzeiro,Casa,4,490,6950000
GO,GOIANIA,Alphaville Cruzeiro,Casa,,836,4180000
GO,GOIANIA,Alphaville Cruzeiro,Sobrado,5,480,4950000
GO,GOIANIA,Alphaville Cruzeiro,Sobrado,5,456,5950000
GO,GOIANIA,Alphaville Cruzeiro,Sobrado,5,521,7050000
GO,GOIANIA,Alphaville Cruzeiro,Casa,4,569,5950000
GO,GOIANIA,Alphaville Cruzeiro,Sobrado,4,485,6950000
GO,GOIANIA,Alphaville Cruzeiro,Casa,4,419,6500000
GO,GOIANIA,Alphaville Cruzeiro,Sobrado,4,530531,7200000
GO,GOIANIA,Alphaville Cruzeiro,Casa,4,420,6500000
GO,GOIANIA,Alphaville Cruzeiro,Casa,5,582,22850000
GO,GOIANIA,Alphaville Cruzeiro,Casa,4,480,6200000
GO,GOIANIA,Alphaville Cruzeiro,Casa,4,733,9500000
GO,GOIANIA,Alphaville Cruzeiro,Casa,4,514,6400000
GO,GOIANIA,Alphaville Cruzeiro,Casa,5,521,7050000
