estado,cidade,bairro,tipo,quartos,m2,valor
GO,GOIANIA,Alphaville Goiás,Lote/Terreno,,750,2750000
GO,GOIANIA,Alphaville Goiás,Lote/Terreno,,936,4200000
GO,GOIANIA,Alphaville Goiás,Casa,3,509,6850000
GO,GOIANIA,Alphaville Goiás,Casa,4,629,9000000
GO,GOIANIA,Alphaville Goiás,Casa,4,320,4790000
GO,GOIANIA,Alphaville Goiás,Sobrado,5,471,5990000
GO,GOIANIA,Alphaville Goiás,Casa,5,402,5450000
GO,GOIANIA,Alphaville Goiás,Casa,5,440,5900000
GO,GOIANIA,Alphaville Goiás,Casa,4,654,7800000
GO,GOIANIA,Alphaville Goiás,Sobrado,5,600,5490000
GO,GOIANIA,Alphaville Goiás,Casa,5,470,6500000
GO,GOIANIA,Alphaville Goiás,Casa,4,440,6900000
GO,GOIANIA,Alphaville Goiás,Sobrado,5,470,6500000
GO,GOIANIA,Alphaville Goiás,Casa,4,506,6500000
GO,GOIANIA,Alphaville Goiás,Casa,4,415,5000000
GO,GOIANIA,Alphaville Goiás,Casa,4,461,5500000
GO,GOIANIA,Alphaville Goiás,Casa,4,500,6790000
GO,GOIANIA,Alphaville Goiás,Casa,4,670,13000000
GO,GOIANIA,Alphaville Goiás,Casa,5,460,7500000
GO,GOIANIA,Alphaville Goiás,Lote/Terreno,,750,2750000
GO,GOIANIA,Alphaville Goiás,Casa,5,670,12500000
GO,GOIANIA,Alphaville Goiás,Casa,5,573,14000000
GO,GOIANIA,Alphaville Goiás,Casa,4,320,4200000
GO,GOIANIA,Alphaville Goiás,Casa,5,500,7000000
GO,GOIANIA,Alphaville Goiás,Casa,4,583,7750000
GO,GOIANIA,Alphaville Goiás,Casa,4,506,6500000
GO,GOIANIA,Alphaville Goiás,Casa,4,384,5200000
GO,GOIANIA,Alphaville Goiás,Casa,4,584,7900000
GO,GOIANIA,Alphaville Goiás,Casa,5,470,6500000
GO,GOIANIA,Alphaville Goiás,Sobrado,5,600,5490000
