estado,cidade,bairro,tipo,quartos,m2,valor
GO,GOIANIA,Alphaville Ipês,Lote/Terreno,,636,3150000
GO,GOIANIA,Alphaville Ipês,Lote/Terreno,,636,3150000
GO,GOIANIA,Alphaville Ipês,Sobrado,4,354,3990000
GO,GOIANIA,Alphaville Ipês,Lote/Terreno,,1241,6500000
GO,GOIANIA,Alphaville Ipês,Sobrado,4,453,6750000
GO,GOIANIA,Alphaville Ipês,Casa,5,543,9490000
GO,GOIANIA,Alphaville Ipês,Casa,5,453,7250000
GO,GOIANIA,Alphaville Ipês,Casa,,1236,6600000
GO,GOIANIA,Alphaville Ipês,Casa,4,510,7450000
GO,GOIANIA,Alphaville Ipês,Casa,5,496,6800000
GO,GOIANIA,Alphaville Ipês,Lote/Terreno,,0,6600000
GO,GOIANIA,Alphaville Ipês,Casa,5,437,6980000
GO,GOIANIA,Alphaville Ipês,Casa,4,453,7250000
GO,GOIANIA,Alphaville Ipês,Lote/Terreno,,636,2900000
GO,GOIANIA,Alphaville Ipês,Sobrado,4,900,11500000
GO,GOIANIA,Alphaville Ipês,Sobrado,5,565,11000000
GO,GOIANIA,Alphaville Ipês,Casa,5,453,7250000
GO,GOIANIA,Alphaville Ipês,Casa,5,598,8900000
GO,GOIANIA,Alphaville Ipês,Casa,5,468,5990000
GO,GOIANIA,Alphaville Ipês,Casa,6,453,5700000
GO,GOIANIA,Alphaville Ipês,Casa,4,510,7950000
