estado,cidade,bairro,tipo,quartos,m2,valor
GO,GOIANIA,Plateau D'or,Casa,4,330,4990000
GO,GOIANIA,Plateau D'or,Lote/Terreno,,861,1999000
GO,GOIANIA,Plateau D'or,Lote/Terreno,,696,1590000
GO,GOIANIA,Plateau D'or,Lote/Terreno,,1274,2930499
GO,GOIANIA,Plateau D'or,Lote/Terreno,,681,1634400
GO,GOIANIA,Plateau D'or,Lote/Terreno,,640,1530000
GO,GOIANIA,Plateau D'or,Lote/Terreno,,683,1639200
GO,GOIANIA,Plateau D'or,Casa,4,520,7000000
GO,GOIANIA,Plateau D'or,Lote/Terreno,,641,1508606
GO,GOIANIA,Plateau D'or,Lote/Terreno,,691,1937348
GO,GOIANIA,Plateau D'or,Lote/Terreno,,797,1850000
GO,GOIANIA,Plateau D'or,Lote/Terreno,,641,1508606
GO,GOIANIA,Plateau D'or,Lote/Terreno,,705,1500000
GO,GOIANIA,Plateau D'or,Lote/Terreno,,640,1600000
GO,GOIANIA,Plateau D'or,Lote/Terreno,,727,1920000
GO,GOIANIA,Plateau D'or,Lote/Terreno,,797,1850000
GO,GOIANIA,Plateau D'or,Lote/Terreno,,960,2400000
GO,GOIANIA,Plateau D'or,Lote/Terreno,,681,1634400
GO,GOIANIA,Plateau D'or,Lote/Terreno,,643,1415216
GO,GOIANIA,Plateau D'or,Lote/Terreno,,711,1351014
GO,GOIANIA,Plateau D'or,Casa,4,410,5200000
GO,GOIANIA,Plateau D'or,Lote/Terreno,,641,1508606
GO,GOIANIA,Plateau D'or,Lote/Terreno,,797,1850000
GO,GOIANIA,Plateau D'or,Lote/Terreno,,633,1476243
GO,GOIANIA,Plateau D'or,Lote/Terreno,,636,1495023
GO,GOIANIA,Plateau D'or,Lote/Terreno,,610,1390000
GO,GOIANIA,Plateau D'or,Lote/Terreno,,650,1626666
GO,GOIANIA,Plateau D'or,Lote/Terreno,,647,1550000
GO,GOIANIA,Plateau D'or,Lote/Terreno,,793,1837655
GO,GOIANIA,Plateau D'or,Lote/Terreno,,686,1783600
